raceId,year,round,date,race_name,constructorId,constructorRef,team,team_points,best_finish,win,podium,best_grid_position,pole_position,team_mapping,sponsor,ticker,exchange,start_year,end_year,include_main_model,sponsor_type,source_url,notes,stock_trading_date,stock_pre_event_date,stock_t3_end_date,stock_pre_event_close,stock_event_close,stock_t3_end_close,stock_return_t1,stock_return_t3,market_trading_date,market_pre_event_date,market_t3_end_date,market_pre_event_close,market_event_close,market_t3_end_close,market_return_t1,market_return_t3,vix_trading_date,vix_return_t1,vix_return_t3,vix_level_t1,abnormal_return_t1,abnormal_return_t3,team_points_10,stock_return_t1_w1,stock_return_t3_w1
1052,2021,1,2021-03-28,Bahrain Grand Prix,117,aston_martin,Aston Martin,1.0,10,0,0,10,0,Aston Martin,Cognizant,CTSH,NASDAQ,2021,2025,True,Technology sponsor,https://www.cognizant.com/,Listed sponsor and publicly traded company.,2021-03-29,2021-03-26,2021-03-31,72.68603515625,71.60364532470703,71.65869903564453,-0.014891303800189437,-0.01413388580622188,2021-03-29,2021-03-26,2021-03-31,3974.5400390625,3971.090087890625,3972.889892578125,-0.0008680126852336212,-0.0004151792328563886,2021-03-29,0.09968181865989667,0.028631971935479728,20.739999771118164,-0.014023291114955816,-0.013718706573365491,0.1,-0.014891303800189437,-0.01413388580622188
1052,2021,1,2021-03-28,Bahrain Grand Prix,6,ferrari,Ferrari,12.0,6,0,0,4,0,Ferrari,Shell,SHEL,LSE/NYSE,2021,2025,True,Energy / technical partner,https://www.shell.com/,Long-term Ferrari partner; suitable for the full sample.,2021-03-29,2021-03-26,2021-03-31,33.51607131958008,33.28606033325195,32.209938049316406,-0.006862707270638646,-0.03897035717013253,2021-03-29,2021-03-26,2021-03-31,3974.5400390625,3971.090087890625,3972.889892578125,-0.0008680126852336212,-0.0004151792328563886,2021-03-29,0.09968181865989667,0.028631971935479728,20.739999771118164,-0.005994694585405025,-0.03855517793727614,1.2,-0.006862707270638646,-0.03897035717013253
1052,2021,1,2021-03-28,Bahrain Grand Prix,1,mclaren,McLaren,18.0,4,0,0,6,0,McLaren,Dell Technologies,DELL,NYSE,2021,2025,True,Technology sponsor,https://www.delltechnologies.com/,Useful listed sponsor for McLaren.,2021-03-29,2021-03-26,2021-03-31,41.04060745239258,40.68089294433594,40.653221130371094,-0.008764843660608923,-0.009439098153477765,2021-03-29,2021-03-26,2021-03-31,3974.5400390625,3971.090087890625,3972.889892578125,-0.0008680126852336212,-0.0004151792328563886,2021-03-29,0.09968181865989667,0.028631971935479728,20.739999771118164,-0.007896830975375302,-0.009023918920621377,1.8,-0.008764843660608923,-0.009439098153477765
1052,2021,1,2021-03-28,Bahrain Grand Prix,131,mercedes,Mercedes,41.0,1,1,1,2,0,Mercedes,TeamViewer,TMV.DE,XETRA,2021,2025,True,Technology sponsor,https://www.teamviewer.com/,Five-year partnership announced in 2021.,2021-03-29,2021-03-26,2021-03-31,36.40999984741211,36.56999969482422,36.43000030517578,0.004394392971234229,0.0005493122177284704,2021-03-29,2021-03-26,2021-03-31,3974.5400390625,3971.090087890625,3972.889892578125,-0.0008680126852336212,-0.0004151792328563886,2021-03-29,0.09968181865989667,0.028631971935479728,20.739999771118164,0.00526240565646785,0.000964491450584859,4.1,0.004394392971234229,0.0005493122177284704
1052,2021,1,2021-03-28,Bahrain Grand Prix,131,mercedes,Mercedes,41.0,1,1,1,2,0,Mercedes,CrowdStrike,CRWD,NASDAQ,2021,2025,True,Cybersecurity sponsor,https://www.crowdstrike.com/,Listed as a Mercedes-AMG Petronas F1 partner during the sample window.,2021-03-29,2021-03-26,2021-03-31,177.68499755859375,173.85000610351562,182.5099945068359,-0.021583090906780122,0.027154779607383883,2021-03-29,2021-03-26,2021-03-31,3974.5400390625,3971.090087890625,3972.889892578125,-0.0008680126852336212,-0.0004151792328563886,2021-03-29,0.09968181865989667,0.028631971935479728,20.739999771118164,-0.0207150782215465,0.027569958840240272,4.1,-0.021583090906780122,0.027154779607383883
1053,2021,2,2021-04-18,Emilia Romagna Grand Prix,117,aston_martin,Aston Martin,4.0,8,0,0,10,0,Aston Martin,Cognizant,CTSH,NASDAQ,2021,2025,True,Technology sponsor,https://www.cognizant.com/,Listed sponsor and publicly traded company.,2021-04-19,2021-04-16,2021-04-21,73.95191955566406,73.75010681152344,72.69522094726562,-0.0027289723560011137,-0.016993454881891412,2021-04-19,2021-04-16,2021-04-21,4185.47021484375,4163.259765625,4173.419921875,-0.005306560094486046,-0.002879077463271318,2021-04-19,0.06400005634014416,0.07692307692307687,17.290000915527344,0.002577587738484932,-0.014114377418620094,0.4,-0.0027289723560011137,-0.016993454881891412
1053,2021,2,2021-04-18,Emilia Romagna Grand Prix,6,ferrari,Ferrari,22.0,4,0,0,4,0,Ferrari,Shell,SHEL,LSE/NYSE,2021,2025,True,Energy / technical partner,https://www.shell.com/,Long-term Ferrari partner; suitable for the full sample.,2021-04-19,2021-04-16,2021-04-21,32.34959030151367,32.390663146972656,31.74169921875,0.001269655815612003,-0.018791307002587576,2021-04-19,2021-04-16,2021-04-21,4185.47021484375,4163.259765625,4173.419921875,-0.005306560094486046,-0.002879077463271318,2021-04-19,0.06400005634014416,0.07692307692307687,17.290000915527344,0.006576215910098049,-0.01591222953931626,2.2,0.001269655815612003,-0.018791307002587576
1053,2021,2,2021-04-18,Emilia Romagna Grand Prix,1,mclaren,McLaren,23.0,3,0,1,6,0,McLaren,Dell Technologies,DELL,NYSE,2021,2025,True,Technology sponsor,https://www.delltechnologies.com/,Useful listed sponsor for McLaren.,2021-04-19,2021-04-16,2021-04-21,46.77310562133789,47.695457458496094,46.768497467041016,0.01971970483690577,-9.852145235300647e-05,2021-04-19,2021-04-16,2021-04-21,4185.47021484375,4163.259765625,4173.419921875,-0.005306560094486046,-0.002879077463271318,2021-04-19,0.06400005634014416,0.07692307692307687,17.290000915527344,0.025026264931391817,0.0027805560109183114,2.3,0.01971970483690577,-9.852145235300647e-05
1053,2021,2,2021-04-18,Emilia Romagna Grand Prix,131,mercedes,Mercedes,19.0,2,0,1,1,1,Mercedes,TeamViewer,TMV.DE,XETRA,2021,2025,True,Technology sponsor,https://www.teamviewer.com/,Five-year partnership announced in 2021.,2021-04-19,2021-04-16,2021-04-21,38.7599983215332,38.849998474121094,37.880001068115234,0.002321985461436249,-0.022703748491368803,2021-04-19,2021-04-16,2021-04-21,4185.47021484375,4163.259765625,4173.419921875,-0.005306560094486046,-0.002879077463271318,2021-04-19,0.06400005634014416,0.07692307692307687,17.290000915527344,0.007628545555922295,-0.019824671028097485,1.9,0.002321985461436249,-0.022703748491368803
1053,2021,2,2021-04-18,Emilia Romagna Grand Prix,131,mercedes,Mercedes,19.0,2,0,1,1,1,Mercedes,CrowdStrike,CRWD,NASDAQ,2021,2025,True,Cybersecurity sponsor,https://www.crowdstrike.com/,Listed as a Mercedes-AMG Petronas F1 partner during the sample window.,2021-04-19,2021-04-16,2021-04-21,215.1999969482422,213.3699951171875,210.3699951171875,-0.00850372610132899,-0.02244424674511658,2021-04-19,2021-04-16,2021-04-21,4185.47021484375,4163.259765625,4173.419921875,-0.005306560094486046,-0.002879077463271318,2021-04-19,0.06400005634014416,0.07692307692307687,17.290000915527344,-0.003197166006842944,-0.019565169281845263,1.9,-0.00850372610132899,-0.02244424674511658
